myoclonic epilepsy	CUI=C0014550	PREF=Myoclonic Epilepsy	TUI=T047	STY=Disease or Syndrome
intractable epilepsies	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
intractable epilepsy	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
medication resistant epilepsies	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
medication resistant epilepsy	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
refractory epilepsies	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
seizures due to metabolic disorder	CUI=C1299598	PREF=seizures due to metabolic disorder	TUI=T047	STY=Disease or Syndrome	
seizures due to metabolic disorder (disorder)	CUI=C1299598	PREF=seizures due to metabolic disorder	TUI=T047	STY=Disease or Syndrome	
symptomatic epilepsy	CUI=C1406659	PREF=symptomatic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
brain syndrome	CUI=C1446648	PREF=brain syndrome	TUI=T047	STY=Disease or Syndrome	
non-specific brain syndrome	CUI=C1446648	PREF=non-specific brain syndrome	TUI=T047	STY=Disease or Syndrome	
non-specific brain syndrome (disorder)	CUI=C1446648	PREF=non-specific brain syndrome (disorder)	TUI=T047	STY=Disease or Syndrome	
non-specific brain syndrome, nos	CUI=C1446648	PREF=non-specific brain syndrome, nos	TUI=T047	STY=Disease or Syndrome	
epileptic spasms	CUI=C1527366	PREF=Salaam seizures	TUI=T047	STY=Disease or Syndrome	
salaam attack	CUI=C1527366	PREF=Salaam seizures	TUI=T047	STY=Disease or Syndrome	
salaam attacks	CUI=C1527366	PREF=Salaam seizures	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
salaam seizure	CUI=C1527366	PREF=Salaam seizures	TUI=T047	STY=Disease or Syndrome	
salaam seizures	CUI=C1527366	PREF=Salaam seizures	TUI=T047	STY=Disease or Syndrome	
epilepsy and recurrent seizures	CUI=C1719410	PREF=epilepsy and recurrent seizures	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, not intractable	CUI=C1827389	PREF=Epilepsy, not refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, not refractory	CUI=C1827389	PREF=Epilepsy, not refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, not refractory (disorder)	CUI=C1827389	PREF=Epilepsy, not refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
congenital stiff man syndrome	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
congenital stiff person syndrome	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
exagerrated startle reflex	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
exaggerated startle reaction	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
familial startle disease	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
hereditary hyperekplexia	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
hereditary hyperekplexia (disorder)	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
hkpx1	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
hyperekplexia, hereditary 1	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
hyperexplexia hereditary	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
startle disease, familial	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
startle reaction, exaggerated	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
sthe	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
stiff baby syndrome	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
stiff-baby syndrome	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
stiff-man syndrome, congenital	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
stiff-person syndrome, congenital	CUI=C1835614	PREF=Hereditary Hyperexplexia	TUI=T047	STY=Disease or Syndrome	
myoclonic seizure, intractable	CUI=C1836402	PREF=Myoclonic seizure, refractory	TUI=T033	STY=Finding	
myoclonic seizure, refractory	CUI=C1836402	PREF=Myoclonic seizure, refractory	TUI=T033	STY=Finding	
myoclonic seizure, refractory (disorder)	CUI=C1836402	PREF=Myoclonic seizure, refractory	TUI=T033	STY=Finding	
myoclonic seizures, intractable	CUI=C1836402	PREF=Myoclonic seizure, refractory	TUI=T033	STY=Finding	
ganglioside gm3 synthase deficiency	CUI=C1836824	PREF=Amish Infantile Epilepsy Syndrome	TUI=T047	STY=Disease or Syndrome	
ganglioside gm3 synthase deficiency (disorder)	CUI=C1836824	PREF=Amish Infantile Epilepsy Syndrome	TUI=T047	STY=Disease or Syndrome	
infantile-onset symptomatic epilepsy syndrome	CUI=C1836824	PREF=Amish Infantile Epilepsy Syndrome	TUI=T047	STY=Disease or Syndrome	
salt and pepper developmental regression syndrome	CUI=C1836824	PREF=Amish Infantile Epilepsy Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
salt and pepper mental retardation syndrome	CUI=C1836824	PREF=Amish Infantile Epilepsy Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
spdrs	CUI=C1836824	PREF=Amish Infantile Epilepsy Syndrome	TUI=T047	STY=Disease or Syndrome	
hemiclonic seizures	CUI=C1846620	PREF=Hemiclonic seizures	TUI=T033	STY=Finding	
Unilateral clonic seizures	CUI=C1846620	PREF=Hemiclonic seizures	TUI=T033	STY=Finding	
glut1 deficiency syndrome	CUI=C1847501	PREF=Glut1 Deficiency Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
antiquitin deficiency	CUI=C1849508	PREF=EPILEPSY, PYRIDOXINE-DEPENDENT	TUI=T047	STY=Disease or Syndrome	
epd	CUI=C1849508	PREF=EPILEPSY, PYRIDOXINE-DEPENDENT	TUI=T047	STY=Disease or Syndrome	
pde	CUI=C1849508	PREF=EPILEPSY, PYRIDOXINE-DEPENDENT	TUI=T047	STY=Disease or Syndrome	
pyridoxine dependency	CUI=C1849508	PREF=EPILEPSY, PYRIDOXINE-DEPENDENT	TUI=T047	STY=Disease or Syndrome	
pyridoxine-dependent epilepsy (disorder)	CUI=C1849508	PREF=EPILEPSY, PYRIDOXINE-DEPENDENT	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
pyridoxine-dependent seizures	CUI=C1849508	PREF=EPILEPSY, PYRIDOXINE-DEPENDENT	TUI=T047	STY=Disease or Syndrome	
pnpod	CUI=C1864723	PREF=Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	TUI=T047	STY=Disease or Syndrome	
pyridoxal 5-phosphate dependent epilepsy	CUI=C1864723	PREF=Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
pyridoxal 5-phosphate dependent epilepsy (disorder)	CUI=C1864723	PREF=Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
pyridoxal 5'-phosphate-dependent epilepsy	CUI=C1864723	PREF=Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
pyridoxal phosphate-responsive seizures	CUI=C1864723	PREF=Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
pyridoxine-5'-phosphate oxidase deficiency	CUI=C1864723	PREF=Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	TUI=T047	STY=Disease or Syndrome	
non-epileptic myoclonus	CUI=C1960676	PREF=Non-epileptic myoclonus	TUI=T047	STY=Disease or Syndrome	
non-epileptic myoclonus (disorder)	CUI=C1960676	PREF=Non-epileptic myoclonus	TUI=T047	STY=Disease or Syndrome	
myoclonus of stapedius muscle	CUI=C1960877	PREF=Stapedial myoclonus	TUI=T047	STY=Disease or Syndrome	
myoclonus of stapedius muscle (disorder)	CUI=C1960877	PREF=Stapedial myoclonus	TUI=T047	STY=Disease or Syndrome	
stapedial myoclonus	CUI=C1960877	PREF=Stapedial myoclonus	TUI=T047	STY=Disease or Syndrome	
myoclonus of tensor tympani muscle	CUI=C1998254	PREF=Myoclonus of tensor tympani muscle	TUI=T047	STY=Disease or Syndrome	
myoclonus of tensor tympani muscle (disorder)	CUI=C1998254	PREF=Myoclonus of tensor tympani muscle	TUI=T047	STY=Disease or Syndrome	
myoclonus tensor tympani muscle	CUI=C1998254	PREF=Myoclonus of tensor tympani muscle	TUI=T047	STY=Disease or Syndrome	
tensor tympani myoclonus	CUI=C1998254	PREF=Myoclonus of tensor tympani muscle	TUI=T047	STY=Disease or Syndrome	
benigh rolandic epilepsy 	CUI=C2363129	PREF=Benign Rolandic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Centralopathic epilepsy	CUI=C2363129	PREF=Benign Rolandic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Temporal-central focal epilepsy	CUI=C2363129	PREF=Benign Rolandic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Benign Childhood Epilepsy With Centro Temporal Spikes	CUI=C2363129	PREF=Benign Rolandic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Benign epilepsy with centrotemporal spikes	CUI=C2363129	PREF=Benign Rolandic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
BECTS	CUI=C2363129	PREF=Benign Rolandic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Childhood epilepsy with centro-temporal spikes	CUI=C2363129	PREF=Benign Rolandic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
CECTS	CUI=C2363129	PREF=Benign Rolandic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
febrile myoclonus	CUI=C2711743	PREF=febrile myoclonus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonus associated with fever	CUI=C2711743	PREF=febrile myoclonus	TUI=T047	STY=Disease or Syndrome	
myoclonus associated with fever (disorder)	CUI=C2711743	PREF=febrile myoclonus	TUI=T047	STY=Disease or Syndrome	
hypnic jerk	CUI=C2732862	PREF=Hypnic jerk	TUI=T033	STY=Finding	
hypnic jerk (finding)	CUI=C2732862	PREF=Hypnic jerk	TUI=T033	STY=Finding	
hypnic twitch	CUI=C2732862	PREF=Hypnic jerk	TUI=T033	STY=Finding	
epilepsy, ataxia, sensorineural deafness and tubulopathy	CUI=C2748572	PREF=SeSAME syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
seizure, sensorineural deafness, ataxia, intellectual disability, electrolyte imbalance syndrome	CUI=C2748572	PREF=SeSAME syndrome	TUI=T047	STY=Disease or Syndrome	
seizure, sensorineural deafness, ataxia, intellectual disability, electrolyte imbalance syndrome (disorder)	CUI=C2748572	PREF=SeSAME syndrome	TUI=T047	STY=Disease or Syndrome	
seizures, sensorineural deafness, ataxia, mental retardation and electrolyte imbalance	CUI=C2748572	PREF=SeSAME syndrome	TUI=T047	STY=Disease or Syndrome	
sesame (seizures, sensorineural deafness, ataxia, mental retardation, electrolyte imbalance) syndrome	CUI=C2748572	PREF=SeSAME syndrome	TUI=T047	STY=Disease or Syndrome	
sesames syndrome	CUI=C2748572	PREF=SeSAME syndrome	TUI=T047	STY=Disease or Syndrome	
epilepsy, unspecified, not intractable	CUI=C2875138	PREF=epilepsy, unspecified, not intractable	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, unspecified, intractable	CUI=C2875141	PREF=epilepsy, unspecified, intractable	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome	CUI=C2931125	PREF=atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome (disorder)	CUI=C2931125	PREF=atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
feigenbaum bergeron richardson syndrome	CUI=C2931125	PREF=feigenbaum bergeron richardson syndrome	TUI=T047	STY=Disease or Syndrome	
mental retardation x-linked, tranebjaerg type seizures and psoriasis	CUI=C2931381	PREF=Tranebjaerg Svejgaard syndrome	TUI=T047	STY=Disease or Syndrome	
tranebjaerg svejgaard syndrome	CUI=C2931381	PREF=Tranebjaerg Svejgaard syndrome	TUI=T047	STY=Disease or Syndrome	
x-linked intellectual disability with seizure and psoriasis syndrome	CUI=C2931381	PREF=Tranebjaerg Svejgaard syndrome	TUI=T047	STY=Disease or Syndrome	
x-linked intellectual disability with seizure and psoriasis syndrome (disorder)	CUI=C2931381	PREF=Tranebjaerg Svejgaard syndrome	TUI=T047	STY=Disease or Syndrome	
x-linked mental retardation associated with psoriasis	CUI=C2931381	PREF=Tranebjaerg Svejgaard syndrome	TUI=T047	STY=Disease or Syndrome	
battaglia neri syndrome	CUI=C2931579	PREF=Battaglia Neri syndrome	TUI=T047	STY=Disease or Syndrome	
epilepsy, microcephaly, skeletal dysplasia syndrome	CUI=C2931579	PREF=Battaglia Neri syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, microcephaly, skeletal dysplasia syndrome (disorder)	CUI=C2931579	PREF=Battaglia Neri syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal seizure with experiential sensory symptoms	CUI=C3164682	PREF=Focal seizure with experiential sensory symptoms	TUI=T033	STY=Finding	
focal seizure with experiential sensory symptoms (disorder)	CUI=C3164682	PREF=Focal seizure with experiential sensory symptoms	TUI=T033	STY=Finding	
temporo-parieto-occipital junction seizure	CUI=C3164682	PREF=Focal seizure with experiential sensory symptoms	TUI=T033	STY=Finding	
migrating partial seizures in infancy	CUI=C3494976	PREF=Migrating partial seizures in infancy	TUI=T047	STY=Disease or Syndrome	
migrating partial seizures in infancy (disorder)	CUI=C3494976	PREF=Migrating partial seizures in infancy	TUI=T047	STY=Disease or Syndrome	
myoclonic seizure, non-intractable	CUI=C3494990	PREF=Migrating partial seizures in infancy	TUI=T047	STY=Disease or Syndrome	
myoclonic seizure, non-refractory	CUI=C3494990	PREF=Migrating partial seizures in infancy	TUI=T047	STY=Disease or Syndrome	
myoclonic seizure, non-refractory (disorder)	CUI=C3494990	PREF=Migrating partial seizures in infancy	TUI=T047	STY=Disease or Syndrome	
dravet syndrome, non-intractable	CUI=C3494991	PREF=Severe myoclonic epilepsy in infancy, non-refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
dravet syndrome, non-refractory	CUI=C3494991	PREF=Severe myoclonic epilepsy in infancy, non-refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
severe myoclonic epilepsy in infancy, non-intractable	CUI=C3494991	PREF=Severe myoclonic epilepsy in infancy, non-refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
severe myoclonic epilepsy in infancy, non-refractory	CUI=C3494991	PREF=Severe myoclonic epilepsy in infancy, non-refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
severe myoclonic epilepsy in infancy, non-refractory (disorder)	CUI=C3494991	PREF=Severe myoclonic epilepsy in infancy, non-refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
dravet syndrome, refractory	CUI=C3494992	PREF=Severe myoclonic epilepsy in infancy, refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
intractable dravet syndrome 	CUI=C3494992	PREF=Severe myoclonic epilepsy in infancy, refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
severe myoclonic epilepsy in infancy, intractable	CUI=C3494992	PREF=Severe myoclonic epilepsy in infancy, refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
severe myoclonic epilepsy in infancy, refractory	CUI=C3494992	PREF=Severe myoclonic epilepsy in infancy, refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
severe myoclonic epilepsy in infancy, refractory (disorder)	CUI=C3494992	PREF=Severe myoclonic epilepsy in infancy, refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
typical absence seizure, non-intractable	CUI=C3495024	PREF=Typical absence seizure, non-refractory	TUI=T047	STY=Disease or Syndrome	
typical absence seizure, non-refractory	CUI=C3495024	PREF=Typical absence seizure, non-refractory	TUI=T047	STY=Disease or Syndrome	
typical absence seizure, non-refractory (disorder)	CUI=C3495024	PREF=Typical absence seizure, non-refractory	TUI=T047	STY=Disease or Syndrome	
typical absence seizure, intractable	CUI=C3495025	PREF=Typical absence seizure, refractory	TUI=T047	STY=Disease or Syndrome	
typical absence seizure, refractory	CUI=C3495025	PREF=Typical absence seizure, refractory	TUI=T047	STY=Disease or Syndrome	
typical absence seizure, refractory (disorder)	CUI=C3495025	PREF=Typical absence seizure, refractory	TUI=T047	STY=Disease or Syndrome	
benign childhood epilepsy with centrotemporal spikes, non-intractable	CUI=C3536561	PREF=Benign childhood epilepsy with centrotemporal spikes, non-refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
benign childhood epilepsy with centrotemporal spikes, non-refractory	CUI=C3536561	PREF=Benign childhood epilepsy with centrotemporal spikes, non-refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
benign childhood epilepsy with centrotemporal spikes, non-refractory (disorder)	CUI=C3536561	PREF=Benign childhood epilepsy with centrotemporal spikes, non-refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
benign rolandic epilepsy, non-refractory	CUI=C3536561	PREF=Benign childhood epilepsy with centrotemporal spikes, non-refractory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
benign childhood epilepsy with centrotemporal spikes, intractable	CUI=C3536562	PREF=Benign childhood epilepsy with centrotemporal spikes, intractable	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
benign childhood epilepsy with centrotemporal spikes, refractory	CUI=C3536562	PREF=Benign childhood epilepsy with centrotemporal spikes, intractable	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
benign childhood epilepsy with centrotemporal spikes, refractory (disorder)	CUI=C3536562	PREF=Benign childhood epilepsy with centrotemporal spikes, intractable	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
benign rolandic epilepsy, refractory	CUI=C3536562	PREF=Benign childhood epilepsy with centrotemporal spikes, intractable	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Complex partial epileptic seizure of temporal lobe	CUI=C3661551	PREF=Complex partial epileptic seizure of temporal lobe	TUI=T047	STY=Disease or Syndrome	
Complex partial seizure of temporal lobe	CUI=C3661551	PREF=Complex partial epileptic seizure of temporal lobe	TUI=T047	STY=Disease or Syndrome	
Partial epileptic seizure of temporal lobe with impairment of consciousness	CUI=C3661551	PREF=Complex partial epileptic seizure of temporal lobe	TUI=T047	STY=Disease or Syndrome	
Partial epileptic seizure of temporal lobe with impairment of consciousness (disorder)	CUI=C3661551	PREF=Complex partial epileptic seizure of temporal lobe	TUI=T047	STY=Disease or Syndrome	
Partial seizures of the temporal lobe with impairment of conciousness	CUI=C3661551	PREF=Complex partial epileptic seizure of temporal lobe	TUI=T047	STY=Disease or Syndrome	
Partial seizures of the temporal lobe with impairment of conciousness (disorder)	CUI=C3661551	PREF=Complex partial epileptic seizure of temporal lobe	TUI=T047	STY=Disease or Syndrome	
rasmussen syndrome, intractable	CUI=C3661860	PREF=Rasmussen syndrome, intractable	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
rasmussen syndrome, refractory	CUI=C3661860	PREF=Rasmussen syndrome, intractable	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
rasmussen syndrome, refractory (disorder)	CUI=C3661860	PREF=Rasmussen syndrome, intractable	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
acquired aphasia with epilepsy, refractory	CUI=C3661861	PREF=Acquired epileptic aphasia, refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
acquired epileptic aphasia, intractable	CUI=C3661861	PREF=Acquired epileptic aphasia, refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
acquired epileptic aphasia, refractory	CUI=C3661861	PREF=Acquired epileptic aphasia, refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
acquired epileptic aphasia, refractory (disorder)	CUI=C3661861	PREF=Acquired epileptic aphasia, refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
Landau-Kleffner syndrome, refractory	CUI=C3661861	PREF=Acquired epileptic aphasia, refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
acquired aphasia with epilepsy, non-refractory	CUI=C3661862	PREF=Acquired epileptic aphasia, non-refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
acquired epileptic aphasia, non-intractable	CUI=C3661862	PREF=Acquired epileptic aphasia, non-refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
acquired epileptic aphasia, non-refractory	CUI=C3661862	PREF=Acquired epileptic aphasia, non-refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
acquired epileptic aphasia, non-refractory (disorder)	CUI=C3661862	PREF=Acquired epileptic aphasia, non-refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
Landau-Kleffner syndrome, non-refractory	CUI=C3661862	PREF=Acquired epileptic aphasia, non-refractory	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
intractable absence seizures	CUI=C3662031	PREF=Intractable absence seizures	TUI=T047	STY=Disease or Syndrome	
intractable absence seizures (disorder)	CUI=C3662031	PREF=Intractable absence seizures	TUI=T047	STY=Disease or Syndrome	
seizure disorder as sequela of stroke	CUI=C3662042	PREF=Seizure disorder as sequela of stroke	TUI=T046	STY=Pathologic Function	
seizure disorder as sequela of stroke (disorder)	CUI=C3662042	PREF=Seizure disorder as sequela of stroke	TUI=T046	STY=Pathologic Function	
rolandic seizures with status epilepticus	CUI=C3662441	PREF=Status epilepticus in benign Rolandic epilepsy	TUI=T047	STY=Disease or Syndrome	
status epilepticus in benign rolandic epilepsy	CUI=C3662441	PREF=Status epilepticus in benign Rolandic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
status epilepticus in benign rolandic epilepsy (disorder)	CUI=C3662441	PREF=Status epilepticus in benign Rolandic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
post-cerebrovascular accident epilepsy	CUI=C3697594	PREF=Post-cerebrovascular accident epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
post-cerebrovascular accident epilepsy (disorder)	CUI=C3697594	PREF=Post-cerebrovascular accident epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
spinal cord myoclonus	CUI=C3697670	PREF=Spinal cord myoclonus	TUI=T047	STY=Disease or Syndrome	
spinal cord myoclonus (disorder)	CUI=C3697670	PREF=Spinal cord myoclonus	TUI=T047	STY=Disease or Syndrome	
spinal myoclonus	CUI=C3697670	PREF=Spinal cord myoclonus	TUI=T047	STY=Disease or Syndrome	
brainstem myoclonus	CUI=C3698072	PREF=Brainstem myoclonus	TUI=T047	STY=Disease or Syndrome	
brainstem myoclonus (disorder)	CUI=C3698072	PREF=Brainstem myoclonus	TUI=T047	STY=Disease or Syndrome	
cerebral cortex myoclonus	CUI=C3698239	PREF=Cerebral cortex myoclonus	TUI=T047	STY=Disease or Syndrome	
cerebral cortex myoclonus (disorder)	CUI=C3698239	PREF=Cerebral cortex myoclonus	TUI=T047	STY=Disease or Syndrome	
cortical myoclonus	CUI=C3698239	PREF=Cerebral cortex myoclonus	TUI=T047	STY=Disease or Syndrome	
axi, cerebrospinal	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
axis, cerebrospinal	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
central nervous system structure	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
central nervous system structure (body structure)	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
central nervous systems	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
cerebrospinal axi	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
cerebrospinal axis	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
nervous system, central	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
nervous systems, central	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
structure of central nervous system	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
structure of central nervous system (body structure)	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
structures of the central nervous system	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
system, central nervous	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
systems, central nervous	CUI=C3714787	PREF=Central Nervous System	TUI=T022	STY=Body System	
epilepsy in mother complicating pregnancy	CUI=C3826393	PREF=Epilepsy in mother complicating pregnancy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy in mother complicating pregnancy (disorder)	CUI=C3826393	PREF=Epilepsy in mother complicating pregnancy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy in pregnancy	CUI=C3826393	PREF=Epilepsy in mother complicating pregnancy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy in childbirth	CUI=C3840267	PREF=Epilepsy in mother complicating childbirth	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy in mother complicating childbirth	CUI=C3840267	PREF=Epilepsy in mother complicating childbirth	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy in mother complicating childbirth (disorder)	CUI=C3840267	PREF=Epilepsy in mother complicating childbirth	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Absence seizure with eyelid myoclonia	CUI=C4023513	PREF=Absence seizure with eyelid myoclonia	TUI=T047	STY=Disease or Syndrome	
Absence seizures with eyelid myoclonia	CUI=C4023513	PREF=Absence seizure with eyelid myoclonia	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Complex partial seizure of frontal lobe 	CUI=C4039464	PREF=Complex partial seizure of frontal lobe	TUI=T047	STY=Disease or Syndrome	
Complex partial seizures of parietal lobe	CUI=C4039814	PREF=Complex partial seizure of frontal lobe	TUI=T047	STY=Disease or Syndrome	
Partial epileptic seizures of parietal lobe with impairment of consciousness	CUI=C4039814	PREF=Complex partial seizure of frontal lobe	TUI=T047	STY=Disease or Syndrome	
epileptic dementia with behavioral disturbance	CUI=C4075972	PREF=Epileptic dementia with behavioral disturbance	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
